Please input an n > 8: Max was 0, i was 0, j was 0, n was: 8, elapsed time: 0
Max was 3, i was 8, j was 9, n was: 9, elapsed time: 0
Max was 3, i was 8, j was 9, n was: 10, elapsed time: 0
Max was 5, i was 8, j was 11, n was: 11, elapsed time: 0
Max was 5, i was 8, j was 11, n was: 12, elapsed time: 0
Max was 6, i was 8, j was 13, n was: 13, elapsed time: 0
Max was 6, i was 8, j was 13, n was: 14, elapsed time: 0
Max was 6, i was 8, j was 13, n was: 15, elapsed time: 0
Max was 6, i was 8, j was 13, n was: 16, elapsed time: 0
Max was 6, i was 8, j was 13, n was: 17, elapsed time: 0
Max was 6, i was 8, j was 13, n was: 18, elapsed time: 0
Max was 6, i was 8, j was 13, n was: 19, elapsed time: 0
Max was 6, i was 8, j was 13, n was: 20, elapsed time: 0
Max was 7, i was 13, j was 21, n was: 21, elapsed time: 0
Max was 7, i was 13, j was 21, n was: 22, elapsed time: 0
Max was 7, i was 13, j was 21, n was: 23, elapsed time: 0
Max was 7, i was 13, j was 21, n was: 24, elapsed time: 0
Max was 7, i was 13, j was 21, n was: 25, elapsed time: 0
Max was 7, i was 13, j was 21, n was: 26, elapsed time: 0
Max was 7, i was 13, j was 21, n was: 27, elapsed time: 0
Max was 7, i was 13, j was 21, n was: 28, elapsed time: 0
Max was 7, i was 13, j was 21, n was: 29, elapsed time: 0
Max was 7, i was 13, j was 21, n was: 30, elapsed time: 0
Max was 7, i was 13, j was 21, n was: 31, elapsed time: 0
Max was 7, i was 13, j was 21, n was: 32, elapsed time: 0
Max was 7, i was 13, j was 21, n was: 33, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 34, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 35, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 36, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 37, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 38, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 39, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 40, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 41, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 42, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 43, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 44, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 45, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 46, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 47, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 48, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 49, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 50, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 51, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 52, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 53, elapsed time: 0
Max was 8, i was 21, j was 34, n was: 54, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 55, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 56, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 57, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 58, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 59, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 60, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 61, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 62, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 63, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 64, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 65, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 66, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 67, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 68, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 69, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 70, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 71, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 72, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 73, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 74, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 75, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 76, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 77, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 78, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 79, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 80, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 81, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 82, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 83, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 84, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 85, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 86, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 87, elapsed time: 0
Max was 9, i was 34, j was 55, n was: 88, elapsed time: 0
Max was 10, i was 55, j was 89, n was: 89, elapsed time: 0
Max was 10, i was 55, j was 89, n was: 90, elapsed time: 1000
Max was 10, i was 55, j was 89, n was: 91, elapsed time: 0
Max was 10, i was 55, j was 89, n was: 92, elapsed time: 0
Max was 10, i was 55, j was 89, n was: 93, elapsed time: 0
Max was 10, i was 55, j was 89, n was: 94, elapsed time: 0
Max was 10, i was 55, j was 89, n was: 95, elapsed time: 1000
Max was 10, i was 55, j was 89, n was: 96, elapsed time: 0
Max was 10, i was 55, j was 89, n was: 97, elapsed time: 0
Max was 10, i was 55, j was 89, n was: 98, elapsed time: 0
Max was 10, i was 55, j was 89, n was: 99, elapsed time: 0
Max was 10, i was 55, j was 89, n was: 100, elapsed time: 0
